BAHASA TUNJUNG,TURUNAN KATA,BAHASA INDONESIA,BAHASA INGGRIS,JENIS KATA,KALIMAT BAHASA TUNJUNG,KALIMAT BAHASA INDONESIA,KALIMAT BAHASA INGGRIS ,DIALEK
jaur,,kurang penglihatan; kabur (terkait mata),poor eyesight; blurred vision,a,ginaq agi pelgaq soq jaur,belum juga tua tapi sudah kabur/kurang penglihatan,"Still young, but his eyesight’s already blurry.",
jautn,,awan,cloud,n,baq jautn diq mon jautn,ada awan di atas awan,there are clouds above the clouds,
jautn,jautn peremaq,awan gelap,dark clouds,n,"aman jautn peremaq, sentanan enau ewah ucatn","kalau awan gelap, pertanda hari akan hujan",dark clouds indicate that it’s going to rain,
jautn,jautn petakng,awan gelap,dark clouds,n,"aman jautn petakng, sentanan enau ewah ucatn","kalau awan gelap, pertanda hari akan hujan",dark clouds indicate that it’s going to rain,
jautn,jautn putiq,awan putih,white clouds,n,"aman jautn putiq tengkelisuuq, ewenau antang tala","kalau awan putih beriringan, matahari akan cerah","when white clouds appear in a row, it means the day will be sunny",
jauq,,nilon; pohon yang sering diambil ijuknya untuk tali pancing,nylon; a tree commonly used for its fibers to craft fishing lines,n,,,,
jawatn,,mujur; cocok,"lucky, fortunate; suitable, appropriate",a,,,,
jayung,,bagian dalam lamin,"the interior of the lamin, inside part of the lamin",n,,,,
jejaut,,mengambil (cepat-cepat),"grab, snatch, pick up quickly",v,,,,
jejek,,banyak bicara,talkative,a,"ehaau akui begahaq dang saq joq, saq joq jejek lebi","Aku senang berbicara dengan dia, karena dia sangat banyak bicara",I like having conversations with him because he’s very talkative,
jejep,,berjajar (tanaman),"planted in a row, lined up",v,,,,
jejongor,,tiba-tiba ada,"suddenly appear, suddenly show up",v,"jejongor uhaq soq didapeq rarut, bioh agi uhaq di dapeeq","Tiba-tiba dia sudah ada di rumah acara, padahal barusan masih di rumah","A moment ago he was still at home, but suddenly he appeared at the event house.",
jejulur,,(tampak) berenang,(seem to) swim,v,nyama yaq jejulur joq?,Apa yang sedang berenang itu?,What is that swimming?,
je,,ke,to,p,tengile te mooq langit lalu mpe je tanan Tonyooi ,lowered from the heavens and descended to the land of Tonyooi,Brought down from the sky and then reached the land of Tonyooi,
je,je lapm, ke dalam,in,p,maka taai elau haq je lapm talutn,maka kita mencarinya ke dalam hutan,"therefore, we looked for it in the forest",
jelawat,,"jelawat, Leptobarbus hoevenii","Jelawat, a species of freshwater fish (Leptobarbus hoevenii)",n,,,,
jelemuuq,,nama pohon yang sering dihinggapi lebah madu untuk buat sarang; kampung jelemuq,tree species commonly used by honeybees for nesting; Jelemuq village,n,,,,
jelikng,,buka mata; melek,"open one’s eyes; awake, be awake",v,mun tagaq joq jelikng,"Kalau tertawa, bukalah matamu","When you laugh, open your eyes.",
jelooq,,pisang,banana,n,namak ngulit jelooq,ibu mengupas pisang,mother peels bamanas,
jelooq,jelooq batu,pisang batu,"plantain, Musa balbisiana",n,di unya koi ulih jelooq batu joq?,Dari siapa kamu mendapatkan pisang batu?,Who did you get the plantains from?,
jelooq,jelooq tanak,pisang rebus,boiled bananas,n,aap ehaw kuman jelooq tanak yaq kaheq encak uwas,saya suka makan pisang rebus yang tidak terlalu masak,I like to eat boiled bananas that are not too ripe,
jeluk,,menunduk,"bow down, bend down",v,,,,
jelukng,,selam; menyelam,dive,v,"sidaq koi jelukng aleq, nahatn asakng",Cobalah menyelam dulu dan tahan napasmu,"Try to dive first, hold your breath",
jelukng,,masuk islam,convert to Islam,v,lonya uhaq joq nyi jelukng?,Bagaimana proses dia memeluk Islam?,How did he convert to Islam?,
jelur,,rombongan ikan,"school of fish, shoal of fish",n,,,,
jaman,,zaman,"era, time",n,jaman aneh sih uge jaman sultan Tenggarukng,zaman itu dulu masih zaman sultan Tenggarong,"at that time, it was still the era of the sultan of Tenggarong",
jembatatn,,jembatan,bridge,n,jembatatn yaq tenengatn Pak Kades dang anggota ke ginaq selukng,Jembatan yang dibuat Pak Kades dan anggotanya belum selesai.,The bridge constructed by the village head and his team has not been completed.,
jemelap,,basah terus-menerus,"constantly wet, continuously wet",a,perngin unuq sion sapai neq uge jemelap,Badan terasa dingin karena baju ini masih basah terus-menerus.,My body feels cold because this shirt is still constantly wet.,
jemelimai,,gelimpangan,"scattered, strewn",a,,,,
jemere,,kesemutan,tingling,a,,,,
jemeru,,berkerumun,"gather, crowd together",v,jemeru daai meto taai,Kita semua berkerumun ke sana.,We all gathered over there.,
jemiaq,,rumbia,"sago palm, Metroxylon sagu",n,pajiq taai nenoq rotn jemiaq neq,bagus kita ambil daun rumbia ini,we better take this rumbia leaf,
jempia,,badik,dagger,n,,,,
jempookng,,rambut perempuan,female hair,n,nyama koi motoq alau sampai jempookng mejoq Bita?,"Mengapa kamu memotong rambutmu sampai pendek sekali, Bita?","Why did you cut your hair so short, Bita?",
jenukng,,ke hulu ,"upstream, toward the source of the river",adv,koi kat ji dapeq jenukng kah?,Apakah kamu pergi ke rumah di ulu?,Did you go to the house upstream?,
jenukng jenaq,,berjalan tanpa arah,wander or walk aimlessly,v,kaduq koi jenukng jenaq ogeq,Kamu sudah berjalan dari ulu ke ilir terus-menerus,"You’ve been wandering from upriver to downriver all day,",
jemuq,,daun-daunan wangi yang biasa dipakai oleh perempuan dan diikat bersama sanggul,"aromatic leaves traditionally worn by women, bound with a bun.",n,,,,
jemut,,subur,"fertile, lush",a,,,,
jenaak,,berkurang; habis sama sekali,"decrease, reduce, diminish; run out, be exhausted, be depleted",v,,,,
jenaau,,hambar; sayur yang kurang garam,"bland, tasteless",a,,,,
jenak,,nyenyak,"sound sleep, deep sleep",a,kawaq agi tiro jenak kelapm no,Akhirnya saya bisa tidur nyenyak tadi malam.,"Last night, I finally had a deep sleep",
jenaq,,ke hilir,"downstream, toward the river’s end",adv,unya yaq jenaq anih nyi?,Siapa yang pergi ke ilir itu?,Who is heading to the downstream area?,
jengaan tae,,Bigung baru,new Bigung (a place in West Kutai),n,,,,
jengatn,,kayu bengkirai (shorea leavis),"Bengkirai wood, Shorea leavis",n,pajiq kajuq jengatn joq anyatn ngaq dapeq,Kayu bengkirai itu bagus digunakan untuk membuat rumah.,Bengkirai wood is good for building houses.,
jengkeet,,berjangkit; merembet ke bagian lain,"spread, extend, proliferate, contaminate, infect",v,"adui totoi akui, atih jengkeet sokamp","Jangan terlalu dekat denganku, nanti kamu bisa tertular .","Don’t come near me, you might get infected",
jenih,,betul,"right, true",a,,,,
jemooq,,ke atas,"up, upwards",adv,ji dapeq jemooq baq metuq engkokng tenincaq,Di rumah atas ada ikan aruan yang sedang dibakar,"At the upper house, there’s grilled snakehead fish",
jemooq jiweq,,turun naik,up and down,v,calatn jemooq jiweq ngaq benteet akui lenan,Berjalan naik-turun membuat betisku sakit,Walking up and down made my calves hurt,
jenpia,,badik,"a traditional knife from South Sulawesi, dagger",n,jenpia yaq temakai kemp joq?,badik siapa yang kamu pakai itu?,Whose badik are you using?,
jentootn,,tumpukan; onggokan,"pile, heap",n,jentootn rabut yaq ginaq temelipat ewah sermoh dang awaq yaq dacukng,tumpukan pakaian yang belum dilipat mau setinggi orang yang duduk,the pile of unfolded clothes is almost as high as a sitting person,
jereq,,jera; kapok; serik,"discouraged, deterred, reluctant, wary",a,"jereq akui sengkengoi dang Anton joq, pohekng was","jera aku bercanda sama Anton itu, pemarah sekali","I'm tired of joking with Anton, he's so angry",
jereh,,jerih,"hard-earned, earned with effort",a,,,,
jerengkang,,sedang,in progress,adv ,"Anita tetap tulek je sekolah, padahal isag jerengkang kuhukng perah","Anita tetap berangkat ke sekolah, padahal ia sedang sakit kepala","Anita still went to school, even though she had a headache.",
jerepiq,,sejenis serai yang akarnya wangi,aromatic-rooted lemongrass,n,,,,
jerigen,,jeriken,"jerrycan, fuel container",n,jerigen unya yaq tenenotn koi joq?,jeriken siapa yang kamu ambil itu?,Whose jeriken did you take?,
jerikng,,jengkol,"jengkol, dogfruit, Archidendron pauciflorum",n,unya pogai jerikng? dang adi sekilo kee?,siapa yang jual jengkol? sama berapa satu sekilo nya?,Who sells jengkol? And how much is a kilo?,
jerokatn,,talenan,"cutting board, chopping board",n,ohai jerokatn tih anyatn betetar,enggak ada talenan ini untuk becincang,There's no chopping board for chopping.,
jeroot,,tekstur buah yang masak tidak sempuna,the texture of an under-ripe fruit,n,,,,
jerorupm,,angsa yang kedinginan,a cold goose,n,,,,
jewata,,dewa air,god of water,n,,,,
jias janas,,habis sama sekali,"run out, all gone",v ,,,,
jie,,guci atau tempayan yang bernilai seperempat nilai antang,the jar is worth a quarter of an antang,n,,,,
jikon,,sejenis ikan kecil berbentuk ikan haruan,a small fish similar in shape to a haruan (snakehead fish),n,,,,
jipah,,"jerat untuk menangkap babi, payau dan kijang","a snare used to catch wild boar, muntjac, and deer",n,,,,
jiwa waha,,dewi beras,goddess of rice,n,,,,
jiwat,,jenis madu yang diambil dari sarang di atas kayu apa saja,a type of honey collected from hives on any kind of tree,n,,,,
jiweq,,ke bawah,"downward, to the bottom, toward the bottom",adv ,jiweq tih amun ewah kumatn sapikng,ke bawah sini kalau mau makan babi hutan,come down here if you want to eat wild boar,
joboopm,,teduh; terlindung dari sinar matahari.,"shady, sheltered",a,,,,
johos,,suara hujan,"sound of rain, rainfall sound",n,johos ke genoh jantur demoq tee,suara air terjun di atas sana,The sound of the waterfall up there,
jojok,,ayam yang kalah sabung,"losing cock, defeated fighting cock",n,jojok manuq neq heq tahatn topa yaq bohokng joq,ayam yang kalah sabung enggak tahan lawan yang warna merah itu,The losing cock couldn't stand up to the red one,
jojot,,pisang hutan,wild banana,n,ewah nenoq jojot non umatn boleq,mau ambil batang pisang hutan untuk makanan babi,He wanted to take a banana tree trunk for the pigs,
jolokng,,"julung-julung, Hemirhamphus balao","balao halfbeak, Hemirhamphus balao",n,,,,
jolot lengkonyotn,,basah kuyup ,"soaking wet, drenched, sopping wet",a,jolot lengkonyotn migaq peranak nyi di alaq Barukng,basah kuyup kami dua anak saya di jalan barong ,My two children and I got soaked on Jalan Barong,
jongkaaq,,berjaga,"stay awake, keep watch, be on guard",v,,,,
jongkaq,,kemudian,later,p ,atih ngerehe teq lapm kelengkikng jongkaq neheek,nanti keluarkan dari dalam lumbung baru kemudian diinjak,"later, take it out from the barn and then step on it",
jongos,,alat memasak,"cooking tool, cookware",n,,,,
jonooq,,tali pelilit untuk panjat pohon,"climbing rope, liana rope",n,,,,
jonoq,,bahan untuk cawat,materials for a loincloth,n,,,,
jonoq,,kain yang dibuat dari kulit kayu,bark cloth,n,,,,
jooq,,itu,that,pron,tolong koq emeq meja jooq meto,tolong kamu bawa meja itu ke sana,could you please carry that table over there,
jooq mahau,,hanya itu; sisa terakhir,just that; the last remaining,n,joq mahah pengulih kamiq pelau metuuq,hanya itu saja yang kami dapat dari cari ikan,That's all we got from fishing.,
joq,,itu,that,pron,joq yaq koi mui kenikng sarakng akui,itu ya kamu enggak dengar apa yang aku bilang,That's why you didn't listen to what I said.,
joraq,,bersendawa,"burp, belch",v,"lempus kumatn cuk jabau dang metuq pija, hampai joraq ogeq akui","habis makan pucuk singkong dan ikan asin, mau sendawa terus aku","After eating cassava shoots and salted fish, I kept wanting to burp.",
jotoh,,tega,"cruel, ruthless, heartless, unfeeling",a,jotoh ke koi nemaq anaak sagapm demi waweq joq,tega nya kamu tinggalin anak istri demi wanita itu,You are heartless to leave your wife and children for that woman.,
jotukng,,punai tanah; Treron curvirostra,thick-billed green pigeon (Treron curvirostra),n,nyaman ke pumui jotukng tih,enak sekali kuah burung punai ini,This punai bird soup is delicious.,
juaq,,jenis rotan berbatang cokelat berpelepah putih umbutnya putih dan pahit rasamya sering diambil orang untuk lauk,"brown-stemmed rattan with white sheaths and bitter white shoot, commonly used as a side dish",n,,,,
Juaq,,nama kampung,name of a village,n,ayoq taai kekaat neau ulutn main di juaq to,ayok kita pergi lihat mereka main di juaq,let's go see them play at Juaq,
jue,,merak,"peacock, peafowl",n,,,,
juet,,tawon madu (bersarang di pohon rendah),honey bee that builds its nest on low trees,n,,,,
juga,,muda,young; unripe,a,,,,
juhun kodok,,air sungai naik sebentar ,the river level goes up temporarily,n,,,,
juhuuq,,banjir,flood,n,anum juhuuq  ucatn deras,air banjir pas hujan deras,floodwater during heavy rain,
jujuh,,turun; larut,"go down, descend; dissolve, melt",v,,,,
jujuran,,maskawin; mahar,"dowry, marriage gift",n,"amun akui ewah nyagaq saq, nyama jujuran yaq harus akui nyiap?","kalau aku mau beristri dia, apa maskawin yang harus aku siapkan?","If I want to marry her, what dowry should I prepare?",
jujuuq,,berangkat; pergi,"depart, leave",v,,,,
juma,,tembuni; plasenta; ari-ari,"placenta, afterbirth",n,,,,
Jumaat,,Jumat,Friday,n,nau dilau nau jumaat,hari besok hari jumat,tomorrow is friday,
jumus,,kulit ular yang teriepas pada saat pergantian kulit.,snake’s shed skin,n,,,,
jungkaat,,berangkat,"depart, leave",v,bapak jungkaat eteq temehira no,bapak berangkat dari tadi subuh.,father has departed since early morning,
juntukng,,tikus putih besar dan berbau busuk.,big white rat that smells bad,n,baotn juntukng tih sampai kaheq ngulih ngasakng,Bau tikus putih itu membuatku sampai sulit bernapas,The smell of the white rat was so strong that I could hardly breathe,
junung,,"giring-giring, genta kecil","small bell, tiny bell",n,,,,
juruh,,gula yang dimasak tidak jadi,sugar that was cooked but didn’t set,n,,,,
jutn,,terjun,"jump, dive, plunge",v,hanyiq heq koi jutn eteq moq kajuq joq?,Apakah kamu berani melompat (terjun) dari atas kayu itu?,Are you brave enough to jump off that log?,
jutn,,melompat cepat (tupai),"jump quickly, jump swiftly (squirrel)",v,Tupai gagaq lebi jutn teq mooq lengaan nyo sion tengerahaau abatn tuhiq,tupai melompat dengan cepat dari atas pohon kelapa karena diusir dan diteriaki oleh anak-anak,the squirrel quickly jumped down from the coconut tree because it was chased away and shouted at by the children,
jutus,,ular yang sangat berbisa,"highly venomous snake, deadly snake",n,,,,
kahaakng,,pinggang,"waist, hip",n,Lonya umakng kahakng koi joq nyi?,bagaimana keadaan pinggang kamu itu?,How is your waist feeling?,
kaapm,,kalian; sebutan untuk orang banyak,"you all, you",pron,"akui soq enteq kapm dacukng, bi uge agi tege","aku sudah ajak kalian duduk, masih juga berdiri","I’ve already asked you to sit down, yet you’re still standing.",
kaat,,pergi,go,v,bapak kaat noang umaq,bapak pergi menebang pohon di ladang.,father went to cut down a tree in the field,
kaat,kaat calatn,pergi jalan,go out,v,kaat calatn menya haq taai amun yaq naau ucatn tih?,mau pergi jalan kemana juga kita kalau hari ini hujan?,Where could we possibly go if it’s raining today?,
kaat,kaat ja sekolah,pergi ke sekolah,go to school,v,"kaat ja sekolah dohoi meto, adui tengkenyeq ogeq","pergi ke sekolah sana, jangan mau bercanda terus","Go to school, don’t keep fooling around.",
kaat,kaat ja waweq,pergi ke perempuan (cara orang dayak berpacaran) ,visit a girl (as part of courtship),v,kelapm minggu ewah kekaat ja waweeq aleq,malam minggu mau pergi ke perempuan,"On Saturday night, (he) wants to go see a girl.",
kaat,kaat memmu,pergi mandi,"go bathe, go wash up, go take a shower",v,kaat menu ji jantur inaaq to mege teruq waweeq daraq,pergi mandi ke air terjun Inar sana biar ketemu perempuan cantik,Go bathe at the Inar waterfall so you can meet a beautiful girl.,
kaat,kaat naniiq,pergi berak,"go to the toilet, go to poop",v,kaat maniiq menya amun yaq ohai anum tih,pergi berak ke mana kalau yang enggak ada air ini,Where can we go to poop if there’s no water?,
kaat,kaat negat gai ,pergi potong rotan,go to harvest rattan,v,akui ginaq ulih ngaq gawakng sion akui ginaq kaat megat gai,aku belum bisa buat anjat karena aku belum potong rotan,I can’t make anjat yet because I haven’t cut the rattan.,
kaat,kaat ngeniiq,pergi kecing,go pee,v,peringaq aleq akui kekaat ngeniiq,temani dulu aku pergi kencing,Come with me while I go pee.,
kaat,kaat nores ,pergi menyadap karet,go to harvest rubber latex,v,"adui ucatn nau, akui ewah kekaat nores","jangan hari hujan, aku mau menyadap pohon karet",I hope it doesn’t rain; I want to tap the rubber trees.,
kaat,kaat berempuh,mengunjungi,visit,v,"kaat berempuh Nadi sion maai was kaheq teruq dang saq joq, ",pergi berkunjung ke Nadi karena lama sekali enggak pernah bertemu dengan dia itu,went to visit Nadi because I hadn't seen him for a long time,
kabat,,kemalaman,"get caught out at night, be out late",v,kabat was kamiq muliq eteq kampukng Mencimai,kemalaman kami pulang dari kampung Mencimai,We got home late from Mencimai village.,
